Дата;Информация
2024-04-13;93,4419
2024-04-12;93,7196
2024-04-11;93,2198
2024-04-10;92,7463
2024-04-09;92,5810
2024-04-08;92,4155
2024-04-07;92,4155
2024-04-06;92,4155
2024-04-05;92,3058
2024-04-04;92,3892
2024-04-03;92,5254
2024-04-02;92,2914
2024-04-01;92,3660
2024-03-31;92,3660
2024-03-30;92,3660
2024-03-29;92,2628
2024-03-28;92,5919
2024-03-27;92,5745
2024-03-26;92,7761
2024-03-25;92,6118
2024-03-24;92,6118
2024-03-23;92,6118
2024-03-22;91,9499
2024-03-21;92,6861
2024-03-20;92,2243
2024-03-19;91,9829
2024-03-18;91,8700
2024-03-17;91,8700
2024-03-16;91,8700
2024-03-15;91,6359
2024-03-14;91,5449
2024-03-13;90,8818
2024-03-12;90,6252
2024-03-11;90,7493
2024-03-10;90,7493
2024-03-09;90,7493
2024-03-08;90,7493
2024-03-07;90,3412
2024-03-06;91,1604
2024-03-05;91,3534
2024-03-04;91,3336
2024-03-03;91,3336
2024-03-02;91,3336
2024-03-01;90,8423
2024-02-29;91,8692
2024-02-28;92,0425
2024-02-27;92,6321
2024-02-26;92,7519
2024-02-25;92,7519
2024-02-24;92,7519
2024-02-23;92,7519
2024-02-22;92,4387
2024-02-21;92,3490
2024-02-20;92,4102
2024-02-19;92,5492
2024-02-18;92,5492
2024-02-17;92,5492
2024-02-16;91,8237
2024-02-15;91,4316
2024-02-14;91,2057
2024-02-13;91,0758
2024-02-12;90,8901
2024-02-11;90,8901
2024-02-10;90,8901
2024-02-09;91,2561
2024-02-08;91,1514
2024-02-07;90,6842
2024-02-06;91,2434
2024-02-05;90,6626
2024-02-04;90,6626
2024-02-03;90,6626
2024-02-02;90,2299
2024-02-01;89,6678
2024-01-31;89,2887
2024-01-30;89,6090
2024-01-29;89,5159
2024-01-28;89,5159
2024-01-27;89,5159
2024-01-26;88,6562
2024-01-25;88,2829
2024-01-24;87,9199
2024-01-23;87,9724
2024-01-22;88,5896
2024-01-21;88,5896
2024-01-20;88,5896
2024-01-19;88,6610
2024-01-18;88,3540
2024-01-17;87,6457
2024-01-16;87,6772
2024-01-15;88,1324
2024-01-14;88,1324
2024-01-13;88,1324
2024-01-12;88,7818
2024-01-11;89,3939
2024-01-10;90,4040
2024-01-09;89,6883
2024-01-08;89,6883
2024-01-07;89,6883
2024-01-06;89,6883
2024-01-05;89,6883
2024-01-04;89,6883
2024-01-03;89,6883
2024-01-02;89,6883
2024-01-01;89,6883
2023-12-31;89,6883
2023-12-30;89,6883
2023-12-29;90,3041
2023-12-28;91,7051
2023-12-27;91,7069
2023-12-26;91,9690
2023-12-25;91,9389
2023-12-24;91,9389
2023-12-23;91,9389
2023-12-22;91,7062
2023-12-21;90,4056
2023-12-20;90,0870
2023-12-19;90,4162
2023-12-18;89,6966
2023-12-17;89,6966
2023-12-16;89,6966
2023-12-15;89,6741
2023-12-14;89,8926
