Страна,Заболели,Умерли,Вылечились,Активные случаи
США ,'48554890 ', 780140, 0, -1
Индия ,'34596776 ', 469247, 0, 34127529
Бразилия ,'22094459 ', 614681, 0, 21479778
Великобритания ,'10246958 ', 145073, 0, -1
Россия ,'9669718 ', 276419, 8364932, 1028367
Турция ,'8797558 ', 76842, 0, 8720716
Франция ,'7507606 ', 116894, 0, -1
Иран ,'6117445 ', 129830, 0, 5987615
Германия ,'5923564 ', 101794, 0, 5821770
Аргентина ,'5330748 ', 116589, 0, 5214159
Испания ,'5164184 ', 88052, 0, -1
Колумбия ,'5069644 ', 128528, 0, 4941116
Италия ,'5028547 ', 133828, 0, 4894719
Индонезия ,'4256409 ', 143830, 0, 4112579
Мексика ,'3884566', 293950, 0, 3590616
Украина ,'3606622 ', 91268, 0, 3515354
Польша ,'3540061 ', 83583, 0, 3456478
ЮАР ,'2968052 ', 89843, 0, 2878209
Филиппины ,'2832734 ', 48545, 0, 2784189
Нидерланды ,'2646114 ', 19436, 0, -1
Малайзия ,'2632782 ', 30425, 0, 2602357
Перу ,'2236351 ', 201176, 0, 2035175
Чехия ,'2150042 ', 33069, 0, 2116973
Таиланд ,'2115872 ', 20771, 0, 2095101
Ирак ,'2081172 ', 23820, 0, 2057352
Канада ,'1800867 ', 29739, 0, 1771128
Румыния ,'1779667 ', 56529, 0, 1723138
Бельгия ,'1766035 ', 27015, 0, -1
Чили ,'1762751 ', 38346, 0, 1724405
Япония ,'1726636 ', 18357, 0, 1708279
Бангладеш ,'1576284 ', 27981, 0, 1548303
Израиль ,'1343660 ', 8196, 0, 1335464
Пакистан ,'1285254 ', 28737, 0, 1256517
Сербия ,'1254845 ', 11691, 0, -1
Вьетнам ,'1238082 ', 25252, 0, 1212830
Швеция ,'1204859 ', 15151, 0, -1
Словакия ,'1170200 ', 14418, 0, 1155782
Австрия ,'1159995 ', 12492, 0, 1147503
Португалия ,'1147249 ', 18441, 0, 1128808
Венгрия ,'1103108 ', 34521, 0, 1068587
Казахстан ,'1054972 ', 17845, 0, 1037127
Швейцария ,'1014662 ', 11522, 0, 1003140
Куба ,'962486 ', 8304, 0, 954182
Иордания ,'953943 ', 11608, 0, 942335
Марокко ,'949917 ', 14776, 0, 935141
Греция ,'938903 ', 18157, 0, 920746
Грузия ,'845643 ', 12054, 0, 833589
Непал ,'821366 ', 11526, 0, 809840
ОАЭ ,'742041 ', 2147, 0, 739894
Тунис ,'717572 ', 25373, 0, 692199
Болгария ,'695057 ', 28453, 0, 666604
Ливан ,'670656 ', 8725, 0, 661931
Белоруссия ,'654718 ', 5081, 0, 649637
Гватемала ,'617984 ', 15943, 0, 602041
Хорватия ,'608205 ', 10899, 0, 597306
Азербайджан ,'588318 ', 7856, 0, 580462
Ирландия ,'570115 ', 5652, 0, 564463
Коста-Рика ,'566839 ', 7299, 0, 559540
Шри-Ланка ,'563989 ', 14346, 0, 549643
Саудовская Аравия ,'549752 ', 8836, 0, 540916
Боливия ,'537559 ', 19171, 0, 518388
Эквадор ,'526870 ', 33250, 0, 493620
Мьянма  ,'522402 ', 19104, 0, 503298
Дания ,'487401 ', 2895, 0, 484506
Панама ,'477742 ', 7365, 0, 470377
Литва ,'470298 ', 6737, 0, 463561
Парагвай ,'463058 ', 16472, 0, 446586
Палестинские территории ,'460053', 4796, 0, 455257
Южная Корея ,'452350 ', 3659, 0, 448691
Венесуэла ,'431296', 5144, 0, 426152
Словения ,'420898 ', 5224, 0, 415674
Кувейт ,'413362 ', 2465, 0, 410897
Доминиканская Республика ,'407251 ', 4204, 0, 403047
Уругвай ,'399695 ', 6131, 0, 393564
Монголия ,'382082 ', 2005, 0, 380077
Гондурас ,'377859', 10402, 0, 367457
Ливия ,'372636 ', 5456, 0, 367180
Эфиопия ,'371536 ', 6755, 0, 364781
Молдова ,'363774 ', 9119, 0, 354655
Египет ,'358578 ', 20474, 0, 338104
Армения ,'338518 ', 7567, 0, 330951
Оман ,'304554 ', 4113, 0, 300441
Бахрейн ,'277690 ', 1394, 0, 276296
Босния и Герцеговина ,'275065 ', 12586, 0, 262479
Норвегия ,'267843 ', 1054, 0, 266789
Сингапур ,'264725 ', 718, 0, 264007
